0,1,2,3,4,5
1.0,1.0,9.785026133584989,11.723999999999998,681.0,20.0
1.0,2.0,7.748232554089441,6.495999999999999,386.0,4.0
1.0,3.0,4.057137785415418,6.4289999999999985,384.0,2.0
1.0,4.0,6.975338456561064,16.383,476.0,413.0
1.0,5.0,4.24335256696961,4.563000000000002,274.0,0.0
1.0,6.0,3.627461998571439,5.3459999999999965,319.0,2.0
,,,,,
2.0,1.0,50.17829197727988,3739.222,2765.0,1053.0
2.0,2.0,6.942506193181391,12.753000000000156,341.0,346.0
2.0,3.0,6.8980465896981205,70.24400000000014,488.0,2311.0
2.0,4.0,11.12886027409048,13.090000000000146,484.0,308.0
2.0,5.0,5.3216520642323415,7.9109999999996035,258.0,217.0
2.0,6.0,7.638430417268041,8.472999999999956,417.0,88.0
,,,,,
3.0,1.0,7.286765933155666,4.980000000003201,267.0,32.0
3.0,2.0,4.600422900919034,5.84599999999773,177.0,118.0
3.0,3.0,4.7913219739865225,5.245999999999185,289.0,26.0
3.0,4.0,1.9793742326487789,3.7969999999986612,105.0,123.0
3.0,5.0,2.6675794773154515,7.277999999998428,108.0,402.0
3.0,6.0,1.6003441322790248,2.8320000000021537,56.0,116.0
,,,,,
4.0,1.0,3.9575213277723242,2.2089999999999996,139.0,26.0
4.0,2.0,7.324751828913128,11.243,242.0,392.0
4.0,3.0,2.235242591848542,3.2829999999999995,52.0,145.0
4.0,4.0,12.43657613197059,20.964,486.0,588.0
4.0,5.0,2.90118057933242,1.7650000000000006,105.0,1.0
4.0,6.0,5.180947251491237,3.8790000000000013,226.0,7.0
,,,,,
5.0,1.0,4.650196480853492,3.9139999999999873,235.0,0.0
5.0,2.0,3.403340944704286,1.8310000000000173,107.0,4.0
5.0,3.0,8.844035688837101,138.407,263.0,541.0
5.0,4.0,5.448744814983211,3.031000000000006,174.0,8.0
5.0,5.0,3.527636845304221,2.2139999999999986,128.0,5.0
5.0,6.0,7.407753564634979,9.924999999999983,167.0,298.0
,,,,,
